BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Jay Huff,Over,10.5,104,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Jay Huff,Under,10.5,-132,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Landry Shamet,Over,8.5,-113,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Landry Shamet,Under,8.5,-113,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,OG Anunoby,Over,15.5,-104,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,OG Anunoby,Under,15.5,-122,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Karl-Anthony Towns,Over,20.5,104,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Karl-Anthony Towns,Under,20.5,-132,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Pascal Siakam,Over,22.5,-104,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Pascal Siakam,Under,22.5,-122,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Ben Sheppard,Over,8.5,104,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Ben Sheppard,Under,8.5,-132,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Jalen Brunson,Over,26.5,-125,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Jalen Brunson,Under,26.5,-102,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Josh Hart,Over,12.5,-104,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Josh Hart,Under,12.5,-122,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Mikal Bridges,Over,15.5,-115,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Mikal Bridges,Under,15.5,-111,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Aaron Nesmith,Over,13.5,-120,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Aaron Nesmith,Under,13.5,-106,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Andrew Nembhard,Over,16.5,-122,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Andrew Nembhard,Under,16.5,-104,2026-02-11,2026-02-10T22:46:47Z,2026-02-10 14:47:44
FanDuel,player_points,Kevin Durant,Over,24.5,-113,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Kevin Durant,Under,24.5,-113,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Amen Thompson,Over,15.5,-111,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Amen Thompson,Under,15.5,-115,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Derrick Jones,Over,8.5,102,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Derrick Jones,Under,8.5,-130,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Brook Lopez,Over,8.5,-106,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Brook Lopez,Under,8.5,-120,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Reed Sheppard,Over,10.5,-102,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Reed Sheppard,Under,10.5,-125,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Tari Eason,Over,13.5,-113,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Tari Eason,Under,13.5,-113,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,John Collins,Over,13.5,-108,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,John Collins,Under,13.5,-120,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Alperen Sengun,Over,19.5,102,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Alperen Sengun,Under,19.5,-130,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Jabari Smith Jr,Over,13.5,-113,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Jabari Smith Jr,Under,13.5,-113,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Kris Dunn,Over,7.5,-111,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Kris Dunn,Under,7.5,-115,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Kawhi Leonard,Over,28.5,100,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Kawhi Leonard,Under,28.5,-128,2026-02-11,2026-02-10T22:47:01Z,2026-02-10 14:47:44
FanDuel,player_points,Devin Booker,Over,24.5,-113,2026-02-11,2026-02-10T22:47:39Z,2026-02-10 14:47:44
FanDuel,player_points,Devin Booker,Under,24.5,-113,2026-02-11,2026-02-10T22:47:39Z,2026-02-10 14:47:44
